,user,dish_ordered,day,time,veg,place
95,user_11,pesto pizza,thur,breakfast,yes,home
96,user_46,sourdough bread,sat,dinner,yes,home
97,user_76,honey chilli chicken,fri,dinner,no,home
98,user_11,fish masala fry,sun,lunch,no,home
99,user_50,paneer tikka masala,sat,breakfast,yes,office
100,user_31,crispy honey chicken,thur,breakfast,no,office
101,user_90,tandoori fries,sat,breakfast,yes,home
102,user_84,peri peri chicken,tue,breakfast,no,home
103,user_62,schezwan fried rice,tue,breakfast,yes,home
104,user_35,open dosa,mon,dinner,yes,office
105,user_18,schezwan burger,fri,breakfast,yes,office
106,user_9,enchiladas,sat,lunch,yes,home
107,user_81,gelato,wed,lunch,yes,office
108,user_23,mutton cutlets,wed,lunch,no,home
109,user_27,grilled basa,sat,lunch,yes,office
110,user_9,butter dosa,sat,dinner,yes,home
111,user_12,pepperoni,sun,lunch,yes,home
112,user_62,tortilla soup,tue,breakfast,yes,office
113,user_57,chicken pasta,wed,dinner,no,office
114,user_56,drunken beef,mon,dinner,yes,home
115,user_64,beef momo,mon,lunch,yes,home
116,user_71,manali pizza,wed,dinner,yes,office
117,user_67,tuna sashimi,wed,breakfast,yes,office
118,user_11,anjeer kulfi,sat,breakfast,yes,home
119,user_37,carbonara,sat,breakfast,yes,home
120,user_85,chocolate pastry,sun,dinner,yes,home
121,user_53,double chocolate cookie,wed,breakfast,yes,home
122,user_24,chocolate donut,mon,dinner,yes,office
123,user_54,gongura chicken,fri,breakfast,no,home
124,user_78,hariyali kebab,sat,dinner,yes,office
125,user_43,spicy paneer,tue,lunch,yes,office
126,user_32,thalassery dum biriyani,wed,dinner,yes,office
127,user_82,cheese croquettes,thur,breakfast,yes,home
128,user_5,masala poori,tue,breakfast,yes,office
129,user_76,tortilla chips,wed,dinner,yes,office
130,user_54,chicken quesadilla,fri,lunch,no,office
131,user_71,crab sukha,tue,dinner,yes,home
132,user_59,mutton brain,sun,lunch,no,home
133,user_61,aloo litti,sat,dinner,yes,office
134,user_16,chocolate nirvana,tue,breakfast,yes,office
135,user_41,pineapple rasam,thur,dinner,yes,office
136,user_93,bread pudding,sat,dinner,yes,home
137,user_20,ghee rice,fri,lunch,yes,office
138,user_57,penne alfredo,sun,lunch,yes,office
139,user_69,gosht dum biryani,sun,breakfast,yes,office
140,user_37,kadak chai,wed,breakfast,yes,office
141,user_71,greek sandwich,thur,dinner,yes,home
142,user_58,long island iced tea,tue,lunch,yes,home
143,user_59,mushroom soup,wed,breakfast,yes,home
144,user_33,veg shammi,fri,breakfast,yes,home
145,user_32,chicken bharta,thur,dinner,no,home
146,user_68,chicken litti,mon,dinner,no,home
147,user_3,pasta italiano,thur,lunch,yes,office
148,user_51,crispy thread paneer,tue,dinner,yes,office
149,user_28,peppy paneer,sat,breakfast,yes,home
150,user_60,charcoal shawarma,thur,lunch,yes,office
151,user_97,pizza waffles,sun,breakfast,yes,home
152,user_27,ice-cream shake,thur,breakfast,yes,office
153,user_68,honey chilli potatoes,thur,breakfast,yes,home
154,user_29,tawa mutton,sun,lunch,no,office
155,user_25,dal tadka,tue,breakfast,yes,office
156,user_92,chicken overload,wed,breakfast,no,office
157,user_83,blueberry waffles,wed,lunch,yes,office
158,user_5,chicken skewer,fri,lunch,no,office
159,user_81,whole wheat pita,sat,lunch,yes,office
160,user_49,kuluki sarbat,sun,breakfast,yes,home
161,user_84,smoothie bowls,fri,breakfast,yes,home
162,user_53,ice cream sandwich,mon,breakfast,yes,office
163,user_38,chicken noodle,sat,lunch,no,home
164,user_66,veg manchow soup,mon,breakfast,yes,home
165,user_67,banana toffee cheesecake,fri,dinner,yes,office
166,user_0,chocolate hazelnut,fri,dinner,yes,office
167,user_12,chicken tikka kebab,tue,dinner,no,home
168,user_5,chicken stromboli,sun,lunch,no,home
169,user_0,butter garlic prawns,wed,lunch,yes,home
170,user_67,chicken parantha,sun,lunch,no,home
171,user_11,khau suey,sun,breakfast,yes,home
172,user_44,potato cheese ball,fri,breakfast,yes,home
173,user_77,chocolate chip waffle,sat,lunch,yes,office
174,user_89,shawarma burger,thur,dinner,yes,office
175,user_52,breakfast platter,sun,lunch,yes,office
176,user_28,rich chocolate cake,wed,lunch,yes,office
177,user_9,lebanese shawarma,sun,lunch,yes,office
178,user_9,saag,thur,lunch,yes,office
179,user_37,spring chicken,sun,breakfast,no,home
180,user_39,vegetable dimsums,wed,dinner,yes,home
181,user_92,chocolate milkshake,mon,dinner,yes,office
182,user_82,singapore sling,fri,breakfast,yes,home
183,user_55,quinoa salad,sat,lunch,yes,office
184,user_68,prawn pepper fry,sat,breakfast,yes,home
185,user_56,fruit parfait,tue,breakfast,yes,office
186,user_65,brewed beer,thur,dinner,yes,office
187,user_42,chicken fiesta,wed,dinner,no,home
188,user_49,masala buttermilk,sun,breakfast,yes,home
189,user_47,cheese nuggets,sat,breakfast,yes,office
190,user_86,red snapper,fri,lunch,yes,office
191,user_75,samosa chaat,tue,dinner,yes,office
192,user_74,mc spicy chicken,fri,dinner,no,home
193,user_35,mustard fish,sat,dinner,no,office
194,user_26,veg supreme,fri,lunch,yes,office
195,user_0,paneer tikka roll,wed,dinner,yes,office
196,user_35,daal baati churma,mon,dinner,yes,home
197,user_62,pasta alfredo,mon,dinner,yes,home
198,user_8,egg pakora,sun,breakfast,yes,home
199,user_3,mushroom toast,wed,breakfast,yes,home
200,user_74,masala peanuts,thur,breakfast,yes,home
201,user_17,caramel pudding,thur,dinner,yes,office
202,user_92,mutton shaadi ki biryani,thur,lunch,no,office
203,user_78,rainbow pastry,sat,lunch,yes,office
204,user_41,pizza sandwich,fri,lunch,yes,office
205,user_95,khichda,wed,breakfast,yes,office
206,user_50,chaai,tue,breakfast,yes,home
207,user_20,chicken chettinad,thur,breakfast,no,home
208,user_97,chicken 65,fri,dinner,no,office
209,user_30,shephards pie,tue,breakfast,yes,home
210,user_19,popcorn chicken,fri,breakfast,no,office
211,user_45,exotic veg pizza,tue,breakfast,yes,home
212,user_76,panneer butter masala,mon,dinner,yes,home
213,user_43,nutella ice cream,thur,dinner,yes,office
214,user_3,malai chaap,mon,breakfast,yes,office
215,user_50,mutton shorba,mon,dinner,no,office
216,user_78,bhuna chicken,tue,dinner,no,home
217,user_65,prawn noodles,wed,lunch,yes,home
218,user_64,sponge cake,thur,dinner,yes,home
219,user_14,dal tadka,thur,breakfast,yes,home
220,user_35,egg pav bhaji,thur,dinner,yes,office
221,user_11,brownie fudge,thur,dinner,yes,office
222,user_26,chhole bhature,sat,breakfast,yes,home
223,user_73,mango chiller,mon,breakfast,yes,office
224,user_0,aloo sandwich,sun,dinner,yes,home
225,user_43,paneer kathi roll,sat,breakfast,yes,office
226,user_33,chicken boneless biryani,wed,dinner,no,office
227,user_63,russian salad,thur,lunch,yes,home
228,user_82,friendly staff,wed,breakfast,yes,office
229,user_44,banana fritters,tue,breakfast,yes,office
230,user_81,bheja fry,mon,breakfast,yes,home
231,user_92,spicy fries,mon,lunch,yes,home
232,user_77,onion rava dosa,mon,lunch,yes,home
233,user_95,basmati rice,thur,breakfast,yes,home
234,user_15,chicken penne,mon,dinner,no,home
235,user_26,chicken lazeez,tue,lunch,no,office
236,user_76,hazelnut ice cream,mon,lunch,yes,home
237,user_81,paneer picante pizza,sat,dinner,yes,home
238,user_26,potato wedges,fri,breakfast,yes,office
239,user_49,chicken bruschetta,thur,dinner,no,home
240,user_83,grand thali,sun,lunch,yes,office
241,user_82,paneer sizzler,fri,breakfast,yes,office
242,user_59,chocolate fudge,tue,lunch,yes,home
243,user_77,aloo sandwich,mon,breakfast,yes,office
244,user_35,calzone,wed,dinner,yes,home
245,user_56,triple schezwan rice,thur,breakfast,yes,office
246,user_62,rava idli,wed,dinner,yes,home
247,user_86,avocado ice cream,sat,dinner,yes,office
248,user_4,granola parfait,mon,dinner,yes,office
249,user_19,chicken whopper,sat,dinner,no,home
250,user_35,chicken 65,mon,lunch,no,office
251,user_83,virgin colada,mon,breakfast,yes,office
252,user_55,fig n honey,wed,breakfast,yes,office
253,user_42,rajma,sat,lunch,yes,home
254,user_54,dehati chicken,sun,dinner,no,home
255,user_64,caesar salad,mon,dinner,yes,home
256,user_66,tangdi chicken,tue,lunch,no,home
257,user_6,garlic bread,sun,dinner,yes,home
258,user_47,sagu dosa,fri,lunch,yes,home
259,user_52,honey chilli fries,fri,breakfast,yes,office
260,user_70,goan fish curry,fri,dinner,no,office
261,user_49,mc veggie,thur,breakfast,yes,home
262,user_9,buffalo wings,sun,dinner,yes,home
263,user_71,tomato chicken,mon,breakfast,no,home
264,user_15,samosa kachori,sat,dinner,yes,office
265,user_42,seekh roll,sun,dinner,yes,office
266,user_50,paneer ke sholay,fri,lunch,yes,home
267,user_52,dynamite roll,thur,lunch,yes,office
268,user_11,apple jalebi,fri,breakfast,yes,office
269,user_71,outdoor sitting arrangement,tue,lunch,yes,home
270,user_35,mississippi mud,wed,dinner,yes,office
271,user_74,anjal masala fry,sun,dinner,yes,home
272,user_33,aloo jeera,sat,breakfast,yes,office
273,user_87,kaaram biryani,fri,dinner,yes,office
274,user_43,chocolate churros,sat,dinner,yes,office
275,user_57,butter garlic momos,sun,breakfast,yes,home
276,user_70,malacca curry,thur,dinner,yes,office
277,user_18,veg fajitas,wed,breakfast,yes,office
278,user_31,boneless biryani,sun,breakfast,yes,office
279,user_6,fries,thur,breakfast,yes,office
280,user_98,murgh lababdar,tue,dinner,yes,office
281,user_51,death by chocolate,thur,dinner,yes,office
282,user_95,egg pakora,sun,lunch,yes,home
283,user_38,crispy pork,wed,lunch,no,home
284,user_3,kiwi delight,thur,lunch,yes,office
285,user_5,chicken meal,sat,breakfast,no,home
286,user_93,masala cola,wed,lunch,yes,office
287,user_17,club sandwiches,thur,dinner,yes,home
288,user_48,paan kulfi,wed,lunch,yes,office
289,user_24,chicken egg roll,wed,breakfast,no,office
290,user_8,tabasco pizza,fri,dinner,yes,office
291,user_69,potato wedges,wed,breakfast,yes,home
292,user_41,taco trio,wed,breakfast,yes,office
293,user_95,veg burger,sun,breakfast,yes,office
294,user_13,dragon prawn,sun,breakfast,yes,office
295,user_33,rava dosa,sat,dinner,yes,office
296,user_8,coffee shake,wed,lunch,yes,home
297,user_27,chicken dim sum,sat,dinner,no,office
298,user_77,thai green curry,mon,dinner,yes,home
299,user_11,bubble tea,thur,breakfast,yes,office
300,user_29,red velvet,fri,lunch,yes,home
301,user_9,crispy chilli babycorn,thur,breakfast,yes,home
302,user_0,nihari,tue,lunch,yes,office
303,user_83,kebab manchurian,fri,dinner,yes,home
304,user_38,ferrero rocher shake,tue,lunch,yes,home
305,user_79,bengali pulao,tue,dinner,yes,home
306,user_30,hummus platter,sat,breakfast,yes,home
307,user_74,date pancakes,wed,breakfast,yes,home
308,user_55,bread omelette,thur,lunch,yes,office
309,user_35,crepe suzette,thur,breakfast,yes,home
310,user_13,banana dosa,fri,lunch,yes,office
311,user_75,dhaniya chutney,thur,dinner,yes,office
312,user_81,tomato chicken,fri,lunch,no,office
313,user_14,mushroom sandwich,wed,dinner,yes,home
314,user_88,bombay bhel,mon,lunch,yes,office
315,user_46,mustard fish curry,sun,dinner,no,office
316,user_71,puri sabzi,tue,breakfast,yes,home
317,user_87,crispy okra,thur,breakfast,yes,home
318,user_54,gadwal kodi pulao,thur,breakfast,yes,home
319,user_75,cheese nachos,sat,breakfast,yes,home
320,user_68,sweet corn soup,sat,breakfast,yes,home
321,user_43,kullad chai,mon,lunch,yes,home
322,user_27,chicken sandwich,thur,dinner,no,office
323,user_5,benne khali dosa,wed,breakfast,yes,home
324,user_93,chicken butter masala,wed,dinner,no,home
325,user_21,pakoda,sat,dinner,yes,home
326,user_53,coorg pandi pizza,mon,breakfast,yes,office
327,user_3,coriander chicken,tue,breakfast,no,home
328,user_86,jumbo vanjiram,mon,breakfast,yes,home
329,user_98,laccha paratha,fri,dinner,yes,office
330,user_47,ginger tea,sun,dinner,yes,office
331,user_80,jeera rice,fri,lunch,yes,office
332,user_87,wonton soup,tue,dinner,yes,office
333,user_11,bati churma,tue,breakfast,yes,home
334,user_12,jalapeno nuggets,fri,dinner,yes,home
335,user_4,baconator burger,thur,dinner,yes,home
336,user_43,ghee idli,fri,dinner,yes,office
337,user_14,belgian dark chocolate,sat,lunch,yes,home
338,user_38,treasure soup,sun,dinner,yes,home
339,user_61,tandoori mushrooms,fri,lunch,yes,home
340,user_33,ferrero rocher cake,thur,dinner,yes,office
341,user_36,caramel pudding,thur,breakfast,yes,office
342,user_2,swiss roll,thur,dinner,yes,home
343,user_39,crispy thread paneer,tue,breakfast,yes,office
344,user_43,wheat beer,sun,breakfast,yes,office
345,user_73,andhra chicken curry,tue,dinner,no,office
346,user_45,red rice,sun,dinner,yes,home
347,user_46,shitake mushrooms,thur,breakfast,yes,home
348,user_38,rice bowls,mon,breakfast,yes,home
349,user_42,lemon basil chicken,mon,breakfast,no,home
350,user_98,rainbow cake,mon,dinner,yes,home
351,user_3,chicken sandwich,thur,lunch,no,office
352,user_98,bacon burger,fri,dinner,yes,home
353,user_19,pili pili pizza,fri,dinner,yes,home
354,user_2,malabari biryani,wed,breakfast,yes,office
355,user_64,bhetki paturi,sun,dinner,yes,office
356,user_50,schezwan fried rice,tue,lunch,yes,home
357,user_40,cafe mocha,fri,dinner,yes,office
358,user_31,roasted almonds,thur,lunch,yes,home
359,user_65,gosht biryani,sat,lunch,yes,home
360,user_26,garlic rice,fri,dinner,yes,office
361,user_58,chocolate roll,thur,dinner,yes,home
362,user_83,cheese roll,mon,lunch,yes,office
363,user_48,honey chilli chicken,sun,dinner,no,home
364,user_88,tex mex,sun,lunch,yes,home
365,user_26,pahari chicken,thur,breakfast,no,home
366,user_12,dahi vada,thur,dinner,yes,office
367,user_40,shawarma roll,mon,lunch,yes,office
368,user_52,makke ki roti,wed,dinner,yes,home
369,user_92,roast mutton,tue,lunch,no,office
370,user_35,laksa,mon,dinner,yes,office
371,user_92,prawn pizza,mon,breakfast,yes,home
372,user_10,banoffee shake,sat,dinner,yes,home
373,user_62,baked nacho,wed,dinner,yes,office
374,user_76,banana crepes,thur,dinner,yes,office
375,user_74,pizza dosa,fri,lunch,yes,office
376,user_15,kheer kadam,sun,lunch,yes,home
377,user_24,california burrito,sun,breakfast,yes,home
378,user_98,belgian fries,thur,breakfast,yes,office
379,user_59,banana pudding,thur,breakfast,yes,office
380,user_72,crispy veg burger,tue,lunch,yes,office
381,user_35,mississippi mudpie,sat,breakfast,yes,home
382,user_47,brownie delight,wed,breakfast,yes,home
383,user_35,patthar ka gosht,wed,breakfast,yes,home
384,user_29,chicken puff,sun,dinner,no,office
385,user_97,karela salad,fri,dinner,yes,office
386,user_12,frittata,tue,dinner,yes,home
387,user_92,cutting chai,thur,lunch,yes,office
388,user_11,wheat paratha,wed,lunch,yes,home
389,user_21,veg momos,tue,dinner,yes,office
390,user_18,vanilla gelato,thur,dinner,yes,home
391,user_62,chocolate churros,sun,breakfast,yes,home
392,user_47,patata bravas,thur,breakfast,yes,office
393,user_45,dabeli,thur,breakfast,yes,office
394,user_57,chicken club sandwiches,sun,dinner,no,home
395,user_11,lime soda,sun,breakfast,yes,home
396,user_4,farm pizza,thur,lunch,yes,office
397,user_72,hyderabadi biryani,thur,breakfast,yes,office
398,user_65,paneer achari roll,tue,dinner,yes,office
399,user_90,hyderabadi dum biryani,mon,breakfast,yes,home
400,user_30,puri saagu,sun,lunch,yes,home
401,user_45,malai ghewar,sun,breakfast,yes,office
402,user_0,mirch ka saalan,sat,lunch,yes,home
403,user_19,vanilla ice cream,thur,dinner,yes,home
404,user_71,irani chai,fri,breakfast,yes,office
405,user_56,mushroom pasta,tue,breakfast,yes,home
406,user_5,crispy chilli chicken,wed,breakfast,no,office
407,user_9,fig ice cream,fri,lunch,yes,home
408,user_28,macaroon,fri,dinner,yes,home
409,user_29,phad thai,sat,breakfast,yes,office
410,user_4,fish thali,wed,dinner,no,home
411,user_90,penne arrabiata pasta,sat,lunch,yes,office
412,user_61,chicken grilled sandwich,tue,lunch,no,office
413,user_26,peanut butter smoothie,sat,breakfast,yes,office
414,user_26,crispy honey chilli chicken,wed,breakfast,no,home
415,user_41,cheesy garlic bread,wed,lunch,yes,office
416,user_62,kiwi juice,tue,lunch,yes,home
417,user_6,yakisoba,mon,lunch,yes,home
418,user_36,mutton seekh roll,tue,dinner,no,home
419,user_85,salmon,thur,dinner,yes,home
420,user_2,lemon chicken,wed,dinner,no,home
421,user_51,fruit cake,wed,breakfast,yes,home
422,user_73,veg manchurian,sat,dinner,yes,home
423,user_7,potato bun,sat,breakfast,yes,home
424,user_83,whole wheat pita,wed,lunch,yes,office
425,user_55,hazelnut mousse flan,wed,breakfast,yes,home
426,user_73,fruit tart,sun,lunch,yes,office
427,user_53,kit kat shake,sat,dinner,yes,home
428,user_79,chicken sandwiches,tue,breakfast,no,office
429,user_92,dum biryani,thur,breakfast,yes,office
430,user_91,chocolate decadence,thur,breakfast,yes,office
431,user_37,strawberry shake,sun,lunch,yes,office
432,user_85,beef bulgogi,sun,breakfast,yes,home
433,user_73,schezwan rice,fri,lunch,yes,office
434,user_23,chicken chunks,fri,breakfast,no,office
435,user_11,dessert jar,sat,lunch,yes,office
436,user_70,aloo matar,thur,breakfast,yes,office
437,user_19,misal pav,mon,dinner,yes,home
438,user_37,paneer curry,fri,dinner,yes,office
439,user_45,rabri,sun,breakfast,yes,office
440,user_22,stuffed chicken breast,tue,lunch,no,home
441,user_83,kadai paneer,mon,dinner,yes,office
442,user_45,chop suey,sun,breakfast,yes,home
443,user_79,roast chicken,sat,lunch,no,home
444,user_8,belgian chocolate shake,tue,breakfast,yes,office
445,user_14,mutton seekh roll,mon,breakfast,no,office
446,user_9,aloo tikki chat,tue,breakfast,yes,home
447,user_90,dum ka chicken,sat,dinner,no,office
448,user_90,chicken cheese sandwich,tue,lunch,no,office
449,user_42,aloo tikki burger,sun,dinner,yes,home
450,user_48,chicken chips,mon,lunch,no,office
451,user_16,chicken keema pizza,thur,dinner,no,office
452,user_83,beer cocktail,sat,breakfast,yes,home
453,user_25,chicken puff,sun,dinner,no,office
454,user_2,gundappa donne biryani,mon,lunch,yes,office
455,user_72,fruit salad,sat,dinner,yes,office
456,user_30,paneer tikka biryani,tue,lunch,yes,home
457,user_6,tenderloin burger,mon,breakfast,yes,office
458,user_14,malai korma,fri,dinner,yes,home
459,user_65,panipuri,mon,dinner,yes,office
460,user_66,taco trio,sat,breakfast,yes,home
461,user_99,peri peri sizzler,tue,dinner,yes,office
462,user_88,marwai sukka,sun,dinner,yes,home
463,user_44,club chicken sandwich,sat,dinner,no,home
464,user_28,lebanese shawarma,fri,breakfast,yes,home
465,user_4,iced peach tea,thur,breakfast,yes,home
466,user_85,blackberry cheesecake,mon,lunch,yes,home
467,user_76,king prawns,mon,breakfast,yes,home
468,user_11,gajar ka halwa,sat,breakfast,yes,home
469,user_22,phulke ghar ke,wed,dinner,yes,office
470,user_11,paper masala dosa,wed,dinner,yes,office
471,user_14,lamb kebab,wed,lunch,no,office
472,user_69,supreme pizza,mon,dinner,yes,office
473,user_75,guntur chicken biryani,sat,dinner,no,home
474,user_5,rice bowl,tue,breakfast,yes,home
475,user_90,blueberry pancakes,mon,breakfast,yes,home
476,user_72,ice cream sizzler,mon,dinner,yes,home
477,user_33,shikanji,sun,dinner,yes,office
478,user_24,healthy breakfast,fri,dinner,yes,home
479,user_95,opera pastry,sat,dinner,yes,home
480,user_27,veg maggi,sat,lunch,yes,office
481,user_84,litti,mon,lunch,yes,home
482,user_45,choco truffle,sun,lunch,yes,office
483,user_54,chicken ham,wed,lunch,no,office
484,user_76,tarkari biryani,tue,dinner,yes,home
485,user_57,lemon basil chicken,sun,lunch,no,home
486,user_90,oreo delight,sat,breakfast,yes,home
487,user_92,chicken roll,thur,lunch,no,home
488,user_76,calzone,fri,breakfast,yes,office
489,user_14,mango cheesecake,fri,lunch,yes,office
490,user_24,gujarati food,mon,breakfast,yes,office
491,user_30,samosa soup,fri,dinner,yes,home
492,user_62,bamboo shoot pork,mon,dinner,no,home
493,user_26,basmati rice,sun,dinner,yes,home
494,user_42,coffee craze,sat,lunch,yes,home
495,user_79,banana leaf fish,wed,breakfast,no,home
496,user_74,masala lemonade,sun,breakfast,yes,office
497,user_77,honey chilli wings,fri,breakfast,yes,office
498,user_28,aloo biryani,thur,breakfast,yes,home
499,user_26,tamarind sorbet,mon,dinner,yes,home
500,user_15,wasabi prawns,wed,lunch,yes,home
501,user_88,rajma chawal,fri,dinner,yes,office
502,user_2,pazham pori,fri,breakfast,yes,office
503,user_53,tamarind sorbet,mon,breakfast,yes,home
504,user_15,peshawari paneer,thur,lunch,yes,home
505,user_27,mysore pak,fri,lunch,yes,office
506,user_82,jumbo vada pavs,thur,lunch,yes,home
507,user_45,jalapeno cheeseballs,tue,breakfast,yes,home
508,user_8,yakhni pulao,thur,breakfast,yes,home
509,user_42,supreme chicken biryani,thur,lunch,no,home
510,user_97,banana crepes,wed,breakfast,yes,office
511,user_5,egg biryani,thur,dinner,yes,home
512,user_20,miso salad,thur,dinner,yes,home
513,user_86,aloo posto,thur,dinner,yes,office
514,user_95,mcaloo tikki,thur,dinner,yes,office
515,user_4,chicken satay,mon,lunch,no,home
516,user_86,spicy falafel,wed,lunch,yes,home
517,user_30,potato fries,thur,breakfast,yes,home
518,user_75,kebab manchurian,sat,breakfast,yes,home
519,user_51,nolen gur,thur,lunch,yes,home
520,user_1,coconut soup,wed,breakfast,yes,home
521,user_60,chicken seekh roll,fri,breakfast,no,office
522,user_87,boneless biryani,wed,breakfast,yes,office
523,user_53,bagel,sun,lunch,yes,office
524,user_5,thick crust pizza,thur,dinner,yes,home
525,user_28,mutton nalli,wed,lunch,no,office
526,user_38,chicken tikka roll,sat,breakfast,no,home
527,user_5,mushroom omelette,sat,breakfast,yes,office
528,user_19,fruit ice cream,fri,dinner,yes,home
529,user_48,dal panchmel,thur,lunch,yes,office
530,user_2,squid masala,sat,breakfast,yes,office
531,user_51,rice bowl,sat,dinner,yes,office
532,user_73,stuffed garlic bread,mon,dinner,yes,home
533,user_2,chicken lollipop,thur,dinner,no,office
534,user_56,lemon chicken,mon,lunch,no,home
535,user_61,jumbo crab,wed,dinner,yes,home
536,user_30,fruit beer,sun,dinner,yes,home
537,user_21,white pasta,fri,lunch,yes,home
538,user_75,mushroom pasta,wed,dinner,yes,office
539,user_27,potato masala,sun,lunch,yes,home
540,user_69,non veg biryani,wed,dinner,no,home
541,user_33,thai wok chicken,fri,lunch,no,home
542,user_26,pork sizzler,fri,breakfast,no,home
543,user_36,teriyaki fish,fri,breakfast,no,home
544,user_23,jalapeno nuggets,sun,lunch,yes,office
545,user_92,java chip frappuccino,fri,dinner,yes,home
546,user_64,prawn curry,thur,dinner,yes,office
547,user_76,icecream cake,sat,lunch,yes,home
548,user_25,fruit beer,tue,dinner,yes,home
549,user_22,sausage roll,mon,dinner,yes,home
